Refs,quantity,value,Description,Manufacturer_Name,Manufacturer_Part_Number,Vendor,Vendor Part Number,Price,datasheet,footprint
"C1, C2, C9, C10",4,22pF,-,Wurth,885012009007,Mouser,710-885012009007,0.61,https://www.mouser.com/datasheet/2/445/885012009007-1727300.pdf,Capacitor_SMD:C_1210_3225Metric
"C11, C16, C17",3,120μF,-,Vishay,293D127X96R3D2TE3,Mouser,74-293D127X96R3D2TE3,0.87,https://www.mouser.com/datasheet/2/427/293d-1763499.pdf,Vishay-cap:CAPPM7343X310N
C12,1,10μF,-,Walsin,1210F106Z100CT,Mouser,791-1210F106Z100CT,0.29,https://www.mouser.com/datasheet/2/210/WTC_MLCC_General_Purpose-1534899.pdf,Capacitor_SMD:C_1210_3225Metric
"C13, C14",2,27pF,-,AVX,12102U270JAT2A,Mouser,581-12102U270JAT2A,0.7,https://www.mouser.com/datasheet/2/40/U_Series-894201.pdf,Capacitor_SMD:C_1210_3225Metric
"C4, C15, C20",3,0.1μF,-,KEMET,C1210C104K5HACAUTO,Mouser,80-C1210C104K5HAUTO,0.5,https://www.mouser.com/datasheet/2/212/KEM_C1007_X8R_ULTRA_150C_SMD-1102703.pdf,Capacitor_SMD:C_1210_3225Metric
"C3, C18",2,4.7μF,-,Walsin,1210F475Z500CT,Mouser,791-1210F475Z500CT,0.62,https://www.mouser.com/datasheet/2/210/WTC_MLCC_General_Purpose-1534899.pdf,Capacitor_SMD:C_1210_3225Metric
J1,1,USB_B_Micro,Upstream USB socket,Molex,47346-0001,Mouser,538-47346-0001,0.95,https://www.mouser.com/datasheet/2/276/0473460001_IO_CONNECTORS-229243.pdf,Connector_USB:USB_Micro-B_Molex_47346-0001
J2,1,CAT,TX-500 CAT Interconnect,JST,B4B-PH-SM4-TB,Mouser,485-4392,0.35,https://www.mouser.com/datasheet/2/737/4389_C13924-001_CCP-W20-03-BK-SMT-R-A-1708610.pdf,Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical
J3,1,REM/DATA,TX-500 REM/DATA Interconnect,JST,B3B-PH-SM4-TB,Mouser,485-4389,0.35,https://www.mouser.com/datasheet/2/737/4389_C13924-001_CCP-W20-03-BK-SMT-R-A-1708610.pdf,Connector_JST:JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical
J4,1,USB_A,Downstream USB socket,Wurth,62900416021,Mouser,710-62900416021,2.36,https://www.mouser.com/datasheet/2/445/62900416021-1718169.pdf,Wurth-USBA:62900416021
"R1, R4",2,1.5kΩ,-,Yageo,AC1210FR-071K5L,Mouser,603-AC1210FR-071K5L,0.31,https://www.mouser.com/datasheet/2/447/PYu_AC_51_RoHS_L_7-1714230.pdf,Resistor_SMD:R_1210_3225Metric
"R2, R3, R5, R6, R7, R8, R9, R10",8,27Ω,-,Yageo,RC1210FR-0727RL,Mouser,603-RC1210FR-0727RL,0.14,https://www.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_10-1664068.pdf,Resistor_SMD:R_1210_3225Metric
"R11, R12, R13, R14, R15, R16, R18",7,15kΩ,-,Vishay,RCA121015K0FKEA,Mouser,71-RCA121015K0FKEA,0.11,https://www.mouser.com/datasheet/2/427/rcae3-1761931.pdf,Resistor_SMD:R_1210_3225Metric
R17,1,10kΩ,-,Vishay,RCA121015K0FKEA,Mouser,71-RCA121015K0FKEA,0.11,https://www.mouser.com/datasheet/2/427/rcae3-1761931.pdf,Resistor_SMD:R_1210_3225Metric
